epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
167,2462.65,0.49277,0.36832,0.8675,0.96122,0.98549,0.97833,0.79569,0.73922,0.40131,0.94427,0.0001783,0.0001783,0.0001783
168,2474.85,0.4782,0.35647,0.85479,0.9622,0.98535,0.98944,0.79032,0.79059,0.41756,0.9625,0.00017335,0.00017335,0.00017335
169,2487.34,0.50538,0.37305,0.86108,0.96017,0.98477,0.98944,0.80032,0.77136,0.41673,0.94931,0.0001684,0.0001684,0.0001684
170,2500.29,0.48588,0.35576,0.84598,0.96076,0.9853,0.97833,0.78689,0.79101,0.41668,0.95926,0.00016345,0.00016345,0.00016345
171,2512.86,0.50043,0.36604,0.86075,0.95963,0.98461,0.97833,0.77053,0.81439,0.41622,0.97616,0.0001585,0.0001585,0.0001585
172,2524.63,0.48321,0.35636,0.85854,0.9607,0.98371,0.98389,0.81144,0.76411,0.41805,0.96244,0.00015355,0.00015355,0.00015355
173,2536.79,0.48143,0.35335,0.84776,0.96231,0.98399,0.98389,0.7797,0.80908,0.40865,0.97242,0.0001486,0.0001486,0.0001486
174,2548.31,0.49479,0.35484,0.853,0.95912,0.98403,0.98389,0.78849,0.78376,0.42002,0.95504,0.00014365,0.00014365,0.00014365
175,2559.18,0.47566,0.34884,0.8667,0.95551,0.98407,0.98389,0.78601,0.80114,0.41731,0.96332,0.0001387,0.0001387,0.0001387
176,2570.86,0.47782,0.35721,0.85509,0.9627,0.97426,0.98944,0.79198,0.80451,0.42715,0.96475,0.00013375,0.00013375,0.00013375
177,2581.94,0.4774,0.34925,0.85725,0.96308,0.97212,0.98389,0.80503,0.74447,0.41758,0.94025,0.0001288,0.0001288,0.0001288
178,2595.61,0.47083,0.35186,0.85366,0.96295,0.97434,0.98389,0.78943,0.78046,0.42634,0.96,0.00012385,0.00012385,0.00012385
179,2613.88,0.45197,0.34747,0.85063,0.95549,0.98307,0.98389,0.80613,0.74969,0.42831,0.95338,0.0001189,0.0001189,0.0001189
